gaze_location_x,gaze_location_y,l_puril_center_x,l_puril_center_y,l_puril_center_z,r_puril_center_x,r_puril_center_y,r_puril_center_z,l_relative_eye_center_x,l_relative_eye_center_y,pitch,yaw,roll,lndmrk469,lndmrk470,lndmrk471,lndmrk472,lndmrk474,lndmrk475,lndmrk476,lndmrk477,lndmrk33,lndmrk7,lndmrk163,lndmrk144,lndmrk145,lndmrk153,lndmrk154,lndmrk155,lndmrk133,lndmrk173,lndmrk157,lndmrk158,lndmrk159,lndmrk160,lndmrk161,lndmrk246,lndmrk362,lndmrk382,lndmrk381,lndmrk380,lndmrk374,lndmrk373,lndmrk390,lndmrk249,lndmrk263,lndmrk466,lndmrk388,lndmrk387,lndmrk386,lndmrk385,lndmrk384,lndmrk398
892,307,947,372,0,1158,373,0,-0.3524214053304003,0.06956100953074165,[-169.31074779],[4.58757534],[0.86822715],"(762.1045188903809, 292.6190048456192)","(745.9647102355957, 278.7743717432022)","(730.4677884578705, 293.7955230474472)","(746.64936876297, 307.7003449201584)","(927.781608581543, 294.6135938167572)","(911.8916187286377, 279.51092422008514)","(896.4065480232239, 293.59945356845856)","(912.258686542511, 308.81662368774414)","(713.5372924804688, 296.3592201471329)","(719.0777814388275, 300.39166510105133)","(724.696316242218, 302.9225319623947)","(732.7492325305939, 305.1812320947647)","(744.9282145500183, 306.11555129289627)","(757.3576912879944, 304.8713967204094)","(769.6701893806458, 302.6075541973114)","(778.0718336105347, 301.5611410140991)","(782.3411936759949, 300.4590481519699)","(777.9076309204102, 296.24755680561066)","(768.0309562683105, 290.2684509754181)","(754.1314058303833, 286.85190230607986)","(740.8453624248505, 286.89554929733276)","(728.5197515487671, 289.31313157081604)","(721.0374441146851, 292.3628479242325)","(716.7802505493164, 294.5983186364174)","(876.5328855514526, 302.1720215678215)","(880.4497776031494, 303.2670721411705)","(888.3790011405945, 304.26484793424606)","(900.248007774353, 306.74401223659515)","(912.5383358001709, 308.24295580387115)","(925.1126389503479, 307.6971024274826)","(933.6946177482605, 305.57993203401566)","(939.958743095398, 302.90137976408005)","(946.0274834632874, 298.51150065660477)","(942.5983328819275, 296.1289018392563)","(938.0997018814087, 293.09909641742706)","(930.406238079071, 289.05753195285797)","(917.6357388496399, 286.1919790506363)","(904.3640699386597, 286.4500358700752)","(890.8824162483215, 290.83102345466614)","(881.0402584075928, 297.71194756031036)"
892,307,946,372,0,1156,373,0,-0.2738830778211932,0.07808647493428389,[-172.20157047],[1.31914383],[0.77885195],"(966.3662338256836, 371.56439781188965)","(945.9538078308105, 353.99423360824585)","(926.9231986999512, 373.33195209503174)","(947.4607086181641, 390.92023730278015)","(1175.7221603393555, 374.4926941394806)","(1156.966323852539, 356.3360917568207)","(1138.0652618408203, 373.19252014160156)","(1156.7845916748047, 391.6324281692505)","(905.3517150878906, 376.33649826049805)","(912.8457069396973, 382.23947167396545)","(920.5645751953125, 385.9536337852478)","(931.3984107971191, 388.9086127281189)","(947.5061988830566, 389.69621658325195)","(963.3895111083984, 387.534441947937)","(978.9493560791016, 384.0309405326843)","(989.406852722168, 382.288556098938)","(994.6342849731445, 380.7721531391144)","(988.8262939453125, 375.309362411499)","(976.0431289672852, 367.16862201690674)","(958.3172607421875, 362.185378074646)","(941.2160110473633, 362.058048248291)","(925.0735473632812, 365.4791522026062)","(915.1991844177246, 370.02758860588074)","(909.580192565918, 373.48995566368103)","(1113.4564590454102, 382.8438377380371)","(1118.210105895996, 384.3141174316406)","(1128.065414428711, 385.80885887145996)","(1142.9307174682617, 389.2023468017578)","(1158.204231262207, 391.2680768966675)","(1173.6773300170898, 390.66065311431885)","(1184.1456985473633, 388.11479687690735)","(1191.8161010742188, 384.9078297615051)","(1199.205551147461, 379.81637477874756)","(1195.13671875, 376.76921367645264)","(1189.7847747802734, 372.8724253177643)","(1180.557861328125, 367.52557039260864)","(1165.0570678710938, 363.3972644805908)","(1148.6377716064453, 363.1788468360901)","(1131.7474365234375, 368.3819246292114)","(1119.2677688598633, 377.1149933338165)"
892,307,948,373,0,1157,373,0,-0.21083860924579645,0.06527323321535392,[-171.85345955],[1.26191709],[0.72061579],"(968.5857009887695, 372.3961293697357)","(948.0681037902832, 354.60822343826294)","(928.3609199523926, 373.6128759384155)","(948.9616012573242, 391.4029061794281)","(1176.1736297607422, 374.5661759376526)","(1157.5627899169922, 356.3109862804413)","(1138.231315612793, 373.0872702598572)","(1156.8101119995117, 391.63867235183716)","(906.6771697998047, 376.95892095565796)","(914.0141487121582, 382.55377292633057)","(921.6025543212891, 386.05775713920593)","(932.3444366455078, 388.9652931690216)","(948.3608436584473, 389.938645362854)","(964.2383193969727, 388.0793273448944)","(979.8351287841797, 384.83885407447815)","(990.4224014282227, 383.20014238357544)","(995.8220672607422, 381.6334640979767)","(990.0619125366211, 376.0187530517578)","(977.4473190307617, 367.79178500175476)","(959.9250411987305, 362.6856851577759)","(943.0157089233398, 362.38245606422424)","(926.8282699584961, 365.7898807525635)","(916.7644500732422, 370.4347801208496)","(911.0309600830078, 373.9757466316223)","(1113.4078216552734, 382.69574761390686)","(1118.0900573730469, 384.24996972084045)","(1127.933349609375, 385.95038294792175)","(1142.977523803711, 389.7057116031647)","(1158.5070419311523, 392.0226573944092)","(1174.2312240600586, 391.37635231018066)","(1184.8046493530273, 388.6545968055725)","(1192.5092697143555, 385.28801679611206)","(1199.945411682129, 380.10260939598083)","(1195.887107849121, 377.13475584983826)","(1190.5645751953125, 373.2914614677429)","(1181.3872146606445, 367.93646335601807)","(1165.8827590942383, 363.604416847229)","(1149.2715454101562, 363.07549595832825)","(1132.042121887207, 368.0522382259369)","(1119.3389511108398, 376.8253469467163)"
892,307,948,373,0,1157,374,0,-0.22539830896397464,0.06321052669374969,[-172.36509532],[1.65688876],[0.7385742],"(968.2730484008789, 372.95894265174866)","(947.955493927002, 355.11586904525757)","(928.2477951049805, 374.0000796318054)","(948.6393356323242, 391.81872367858887)","(1177.4799728393555, 374.6597099304199)","(1157.6752853393555, 355.3970503807068)","(1137.3866271972656, 373.0134344100952)","(1157.1736907958984, 392.5666415691376)","(907.0001220703125, 376.97906970977783)","(914.3904876708984, 382.278835773468)","(921.9808959960938, 385.55606603622437)","(932.677001953125, 388.2990002632141)","(948.5901832580566, 389.3113625049591)","(964.3448638916016, 387.7648651599884)","(979.8207092285156, 385.0392150878906)","(990.3348541259766, 383.74879360198975)","(995.7067108154297, 382.3381233215332)","(989.8995208740234, 376.7352247238159)","(977.3177719116211, 368.46110343933105)","(959.8685646057129, 363.20462822914124)","(943.0191993713379, 362.72183060646057)","(926.9351577758789, 365.99297761917114)","(916.955738067627, 370.5628824234009)","(911.2887954711914, 374.0643882751465)","(1112.025260925293, 382.9316747188568)","(1116.7811965942383, 384.5900523662567)","(1126.7969512939453, 386.31386518478394)","(1142.1037673950195, 389.99542236328125)","(1157.8689193725586, 392.1741592884064)","(1173.7815856933594, 391.39843225479126)","(1184.5227813720703, 388.6546289920807)","(1192.3839569091797, 385.33462285995483)","(1199.9993133544922, 380.2071189880371)","(1195.828628540039, 377.1771776676178)","(1190.357894897461, 373.2559275627136)","(1180.9027862548828, 367.7992522716522)","(1165.0691986083984, 363.44531893730164)","(1148.1879043579102, 362.94835925102234)","(1130.7746887207031, 368.02330255508423)","(1117.9923248291016, 376.94337487220764)"
892,307,949,373,0,1158,374,0,-0.20167728890573844,0.0625860544345082,[-172.57503605],[1.36314128],[0.79200843],"(969.8040390014648, 372.49236702919006)","(948.9671516418457, 354.26624178886414)","(928.7160301208496, 373.4628224372864)","(949.5858764648438, 391.6821241378784)","(1178.8198471069336, 375.0039768218994)","(1158.7907409667969, 355.3537595272064)","(1138.1520080566406, 373.10452222824097)","(1158.1575393676758, 393.0547499656677)","(907.5664329528809, 376.7747497558594)","(914.8816108703613, 382.2537302970886)","(922.415828704834, 385.6530439853668)","(933.1252670288086, 388.4957242012024)","(949.149055480957, 389.4885492324829)","(965.101432800293, 387.70721912384033)","(980.7960891723633, 384.5936894416809)","(991.4689636230469, 383.04806113243103)","(996.9447326660156, 381.49747610092163)","(991.157112121582, 375.82363843917847)","(978.4943389892578, 367.57726192474365)","(960.9060287475586, 362.41148829460144)","(943.9101791381836, 362.0276963710785)","(927.6408004760742, 365.4359257221222)","(917.6049613952637, 370.1321303844452)","(911.9149589538574, 373.73061418533325)","(1113.101806640625, 382.7854835987091)","(1117.7701950073242, 384.4409966468811)","(1127.7275848388672, 386.2615942955017)","(1143.0269622802734, 390.1402938365936)","(1158.8180923461914, 392.5085771083832)","(1174.8138427734375, 391.87878370285034)","(1185.640983581543, 389.1495609283447)","(1193.5832977294922, 385.7732605934143)","(1201.2931823730469, 380.54752349853516)","(1197.2192001342773, 377.53267765045166)","(1191.8266296386719, 373.5718059539795)","(1182.4382400512695, 368.0191504955292)","(1166.5803909301758, 363.4893500804901)","(1149.535789489746, 362.7985954284668)","(1131.9515991210938, 367.79226779937744)","(1119.1051483154297, 376.77384853363037)"
892,307,949,373,0,1158,375,0,-0.20097796079647182,0.0765102648666969,[-172.25345812],[1.41900719],[0.71971595],"(969.7735977172852, 372.41798400878906)","(949.0560722351074, 354.1399097442627)","(928.9211082458496, 373.6449337005615)","(949.6969413757324, 391.94334983825684)","(1179.1973876953125, 375.8656418323517)","(1159.266242980957, 356.1390459537506)","(1138.5325241088867, 373.847451210022)","(1158.4768295288086, 393.8221085071564)","(907.8366279602051, 376.93548917770386)","(915.2556610107422, 382.2522819042206)","(922.8782272338867, 385.5497896671295)","(933.6835098266602, 388.31406354904175)","(949.8452568054199, 389.28017377853394)","(965.8972549438477, 387.5557816028595)","(981.657829284668, 384.53041076660156)","(992.2684478759766, 383.02504777908325)","(997.6092910766602, 381.5373229980469)","(991.8220138549805, 375.90336441993713)","(979.178466796875, 367.6933264732361)","(961.4622116088867, 362.6513421535492)","(944.3067169189453, 362.44460821151733)","(927.9884719848633, 365.93082547187805)","(917.9007911682129, 370.57353615760803)","(912.1689033508301, 374.0673494338989)","(1113.5171127319336, 383.76916766166687)","(1118.240089416504, 385.386700630188)","(1128.1907272338867, 386.9935476779938)","(1143.3156967163086, 390.55875062942505)","(1158.8630676269531, 392.76581168174744)","(1174.5323181152344, 392.2025156021118)","(1185.1920318603516, 389.7049069404602)","(1193.067970275879, 386.5904760360718)","(1200.7307052612305, 381.66735649108887)","(1196.6467666625977, 378.554824590683)","(1191.2824630737305, 374.53238010406494)","(1181.9590759277344, 368.90759468078613)","(1166.275863647461, 364.3649196624756)","(1149.4861221313477, 363.7695336341858)","(1132.18505859375, 368.8583493232727)","(1119.4791412353516, 377.8077757358551)"
892,307,949,373,0,1158,376,0,-0.23781183188734747,0.07518557884284774,[-171.87535375],[1.22578496],[0.73512311],"(970.3488922119141, 373.2246744632721)","(949.4139289855957, 354.9977445602417)","(929.0878486633301, 374.0244126319885)","(950.0982856750488, 392.2593569755554)","(1179.4779968261719, 376.78292512893677)","(1159.4342422485352, 357.342209815979)","(1138.7466430664062, 374.8698878288269)","(1158.7747192382812, 394.56870675086975)","(907.6471138000488, 377.0977735519409)","(914.9637794494629, 382.4235463142395)","(922.5216293334961, 385.75233936309814)","(933.2980155944824, 388.6018431186676)","(949.4601058959961, 389.7098636627197)","(965.5808258056641, 388.1256437301636)","(981.463623046875, 385.1532196998596)","(992.2179794311523, 383.63765358924866)","(997.6935195922852, 382.09691762924194)","(991.9018936157227, 376.49009227752686)","(979.2506790161133, 368.3591687679291)","(961.5584564208984, 363.3103609085083)","(944.399356842041, 362.96313285827637)","(927.9850387573242, 366.27959847450256)","(917.794017791748, 370.818475484848)","(912.0093154907227, 374.25129532814026)","(1113.962059020996, 383.78233194351196)","(1118.6357116699219, 385.4821979999542)","(1128.5092163085938, 387.2920775413513)","(1143.5991668701172, 391.0926604270935)","(1159.1908264160156, 393.39818000793457)","(1174.9858474731445, 392.83349990844727)","(1185.7262420654297, 390.2744793891907)","(1193.6690139770508, 387.08910942077637)","(1201.3722610473633, 382.0773482322693)","(1197.220458984375, 379.004727602005)","(1191.8023681640625, 375.0355839729309)","(1182.403335571289, 369.4838619232178)","(1166.6404724121094, 364.9628806114197)","(1149.8240661621094, 364.28078413009644)","(1132.5226593017578, 369.1453242301941)","(1119.8810577392578, 377.8936815261841)"
892,307,949,373,0,1158,375,0,-0.2543763431089228,0.08203079792711059,[-172.03388094],[1.24037648],[0.84409994],"(970.125617980957, 373.64033102989197)","(949.2200088500977, 355.7417678833008)","(928.9656829833984, 374.3115484714508)","(949.9334335327148, 392.2040927410126)","(1179.4022369384766, 376.3793706893921)","(1159.2010116577148, 356.57185792922974)","(1138.1568145751953, 374.21698451042175)","(1158.3605575561523, 394.2772901058197)","(907.9535293579102, 377.0854461193085)","(915.1448249816895, 382.4011445045471)","(922.5573921203613, 385.73479771614075)","(933.1891250610352, 388.6271095275879)","(949.2469024658203, 389.7939670085907)","(965.4057312011719, 388.16304445266724)","(981.4058303833008, 385.0693416595459)","(992.3162841796875, 383.4646189212799)","(997.9163360595703, 381.84064865112305)","(992.0903778076172, 376.30926847457886)","(979.3282699584961, 368.4303331375122)","(961.5432357788086, 363.5693335533142)","(944.4295120239258, 363.23420763015747)","(928.1010818481445, 366.48401498794556)","(918.0055046081543, 370.91307163238525)","(912.2961044311523, 374.26674485206604)","(1113.3786392211914, 383.62403869628906)","(1118.0326080322266, 385.2962565422058)","(1127.9395294189453, 387.08775758743286)","(1143.1083297729492, 390.9164071083069)","(1158.742904663086, 393.29634189605713)","(1174.5820999145508, 392.81901597976685)","(1185.3437805175781, 390.2883195877075)","(1193.2814025878906, 387.10291743278503)","(1200.9917449951172, 382.06334710121155)","(1196.9091796875, 378.99194955825806)","(1191.5578079223633, 374.995801448822)","(1182.1828079223633, 369.3821847438812)","(1166.3845825195312, 364.75608229637146)","(1149.430160522461, 363.97433638572693)","(1132.023811340332, 368.8436722755432)","(1119.3267059326172, 377.6824736595154)"
892,307,949,373,0,1158,375,0,-0.25671802763127854,0.05453063336972568,[-171.94370849],[1.17899902],[0.82532715],"(969.6358108520508, 373.4307324886322)","(949.0163612365723, 355.2600646018982)","(928.8559341430664, 374.21154499053955)","(949.5425605773926, 392.3590064048767)","(1179.0839767456055, 376.03137016296387)","(1158.849105834961, 356.2213468551636)","(1138.0142211914062, 374.0695381164551)","(1158.2584762573242, 394.09894466400146)","(907.3304557800293, 377.39524126052856)","(914.6515274047852, 382.88278341293335)","(922.2009658813477, 386.2950038909912)","(932.9308319091797, 389.14482951164246)","(948.9727020263672, 390.17656803131104)","(964.9325180053711, 388.471519947052)","(980.6464004516602, 385.4431879520416)","(991.2815093994141, 383.95681500434875)","(996.6809463500977, 382.43709683418274)","(990.9004211425781, 376.71584844589233)","(978.2853698730469, 368.33152055740356)","(960.6685638427734, 363.0503261089325)","(943.6024475097656, 362.66186714172363)","(927.3164749145508, 366.1129367351532)","(917.2946548461914, 370.8329916000366)","(911.6217613220215, 374.4164764881134)","(1113.2355880737305, 383.94638657569885)","(1117.9270935058594, 385.5322480201721)","(1127.8864288330078, 387.0932936668396)","(1143.0662155151367, 390.5984044075012)","(1158.603515625, 392.75824785232544)","(1174.266128540039, 392.215518951416)","(1184.8878479003906, 389.7458803653717)","(1192.7462768554688, 386.6842031478882)","(1200.373191833496, 381.802282333374)","(1196.2778091430664, 378.6405372619629)","(1190.9022903442383, 374.562828540802)","(1181.5314102172852, 368.8449275493622)","(1165.7804489135742, 364.23401713371277)","(1148.9957427978516, 363.6544990539551)","(1131.7822265625, 368.84318947792053)","(1119.1575622558594, 377.92490243911743)"
892,307,949,373,0,1157,375,0,-0.2572505456488194,0.056173172576873806,[-171.92506786],[1.01687714],[0.76196624],"(969.6509170532227, 373.59060287475586)","(948.8930511474609, 355.2540135383606)","(928.5447120666504, 374.3312466144562)","(949.3910980224609, 392.6494896411896)","(1178.3466339111328, 376.2188243865967)","(1158.3296585083008, 356.7139935493469)","(1137.6829147338867, 374.2770445346832)","(1157.7156829833984, 394.00009989738464)","(907.0170593261719, 377.35626339912415)","(914.2444038391113, 382.82867789268494)","(921.7093849182129, 386.29326581954956)","(932.4340438842773, 389.24463987350464)","(948.5793685913086, 390.3738069534302)","(964.7509002685547, 388.6422049999237)","(980.7005310058594, 385.4484987258911)","(991.4997482299805, 383.7987470626831)","(996.990966796875, 382.1857523918152)","(991.1666107177734, 376.4768314361572)","(978.4587478637695, 368.21922183036804)","(960.6825256347656, 363.14350605010986)","(943.4644889831543, 362.898051738739)","(927.0933723449707, 366.3486707210541)","(917.0243453979492, 370.9709429740906)","(911.3350296020508, 374.45432782173157)","(1112.567481994629, 383.83086919784546)","(1117.2483444213867, 385.3932988643646)","(1127.1659088134766, 386.9365453720093)","(1142.2637557983398, 390.4085040092468)","(1157.7437210083008, 392.56290793418884)","(1173.3847045898438, 392.0545542240143)","(1184.0325164794922, 389.65463161468506)","(1191.9328308105469, 386.6474461555481)","(1199.5951080322266, 381.85577630996704)","(1195.5007553100586, 378.7602388858795)","(1190.126953125, 374.7631251811981)","(1180.7910919189453, 369.1704297065735)","(1165.118179321289, 364.6636748313904)","(1148.404426574707, 364.0826439857483)","(1131.1841583251953, 369.10126090049744)","(1118.5166931152344, 377.95406341552734)"
