gaze_location_x,gaze_location_y,l_puril_center_x,l_puril_center_y,l_puril_center_z,r_puril_center_x,r_puril_center_y,r_puril_center_z,l_relative_eye_center_x,l_relative_eye_center_y,pitch,yaw,roll,lndmrk469,lndmrk470,lndmrk471,lndmrk472,lndmrk474,lndmrk475,lndmrk476,lndmrk477,lndmrk33,lndmrk7,lndmrk163,lndmrk144,lndmrk145,lndmrk153,lndmrk154,lndmrk155,lndmrk133,lndmrk173,lndmrk157,lndmrk158,lndmrk159,lndmrk160,lndmrk161,lndmrk246,lndmrk362,lndmrk382,lndmrk381,lndmrk380,lndmrk374,lndmrk373,lndmrk390,lndmrk249,lndmrk263,lndmrk466,lndmrk388,lndmrk387,lndmrk386,lndmrk385,lndmrk384,lndmrk398
685,618,961,705,0,1148,712,0,-0.1583245428055458,0.08154505721581508,[179.41187412],[2.87945086],[1.25514638],"(980.1330184936523, 705.0632286071777)","(961.1566543579102, 688.3670568466187)","(942.3353004455566, 706.0220003128052)","(961.4015579223633, 722.8221344947815)","(1166.272201538086, 712.7296042442322)","(1148.7937545776367, 696.1550331115723)","(1130.1363372802734, 711.0648536682129)","(1147.6148986816406, 727.8243041038513)","(924.5824813842773, 706.2253546714783)","(931.0494232177734, 711.3110160827637)","(937.738094329834, 714.698646068573)","(947.1667671203613, 717.7810835838318)","(961.453971862793, 719.2235541343689)","(975.8269500732422, 717.712140083313)","(989.886589050293, 714.9120426177979)","(999.1074371337891, 713.7584781646729)","(1003.4416580200195, 712.7277374267578)","(998.1644439697266, 707.509081363678)","(986.6241073608398, 699.8718023300171)","(970.5216979980469, 695.5662775039673)","(955.3831100463867, 695.719485282898)","(941.5919494628906, 698.5663175582886)","(933.207893371582, 702.0131063461304)","(928.2655906677246, 704.4487237930298)","(1104.789047241211, 719.3318939208984)","(1109.5442962646484, 720.6423354148865)","(1119.041862487793, 721.7621684074402)","(1133.0921173095703, 724.3908405303955)","(1147.408790588379, 725.9889650344849)","(1161.738510131836, 725.5128622055054)","(1171.4599227905273, 723.5091233253479)","(1178.4578704833984, 721.047306060791)","(1185.2406692504883, 716.7997169494629)","(1181.3071060180664, 714.4195890426636)","(1176.1182403564453, 711.4353203773499)","(1167.2441482543945, 707.4378204345703)","(1152.7246856689453, 704.5190834999084)","(1137.5992584228516, 704.6152567863464)","(1121.8311309814453, 708.5137510299683)","(1110.1570129394531, 714.9309039115906)"
685,618,964,706,0,1148,713,0,-0.1248153754943317,0.044407483810716145,[177.267813],[0.48111858],[1.60706263],"(982.5774765014648, 706.1985111236572)","(963.5698699951172, 689.215042591095)","(945.1803016662598, 706.6135239601135)","(964.3471527099609, 723.683123588562)","(1167.0801544189453, 713.7450885772705)","(1149.1603088378906, 696.7537665367126)","(1130.5494689941406, 712.2216367721558)","(1148.4205627441406, 729.4911789894104)","(925.8905410766602, 706.8273711204529)","(932.450065612793, 711.7218446731567)","(939.1967010498047, 714.9171280860901)","(948.7188720703125, 717.8949594497681)","(963.1331634521484, 719.4704246520996)","(977.6418685913086, 718.2948446273804)","(991.7201614379883, 715.8086943626404)","(1001.1698913574219, 714.7931456565857)","(1005.8514404296875, 713.7129664421082)","(1000.4581832885742, 708.5009407997131)","(988.9434814453125, 700.9671092033386)","(973.0274963378906, 696.4273953437805)","(957.7799606323242, 696.0463714599609)","(943.528003692627, 698.6113142967224)","(934.7946739196777, 702.1312308311462)","(929.7014236450195, 704.7609972953796)","(1106.143798828125, 717.8262090682983)","(1110.9432220458984, 719.3788862228394)","(1120.7308959960938, 721.0438942909241)","(1135.4668807983398, 724.3730092048645)","(1150.2875518798828, 726.2709188461304)","(1164.8131942749023, 725.7028913497925)","(1174.4279479980469, 723.599374294281)","(1181.239128112793, 721.0799431800842)","(1187.7927017211914, 716.8623518943787)","(1184.099006652832, 714.6192741394043)","(1179.0828323364258, 711.6444683074951)","(1170.3434371948242, 707.4702000617981)","(1155.765380859375, 704.0615200996399)","(1140.1899719238281, 703.5439610481262)","(1123.7680435180664, 706.9037818908691)","(1111.7152404785156, 713.2559180259705)"
685,618,965,705,0,1154,712,0,-0.17672121688341097,0.08019875187267544,[178.87330122],[0.01712875],[2.30241052],"(983.9950561523438, 705.6824326515198)","(965.0264739990234, 688.2879424095154)","(946.1586570739746, 705.4763746261597)","(965.2824783325195, 722.904531955719)","(1172.4008560180664, 713.8697147369385)","(1155.4771041870117, 696.563286781311)","(1137.5677871704102, 711.7310500144958)","(1154.3474578857422, 729.2860865592957)","(927.3316955566406, 706.2284445762634)","(934.1643333435059, 711.0070466995239)","(941.2440490722656, 714.1212844848633)","(951.1537742614746, 716.9377970695496)","(966.0780715942383, 718.250105381012)","(980.9920120239258, 716.9609713554382)","(995.4470443725586, 714.588053226471)","(1005.0298690795898, 713.7147045135498)","(1009.6623229980469, 712.8524923324585)","(1004.3294906616211, 707.9837679862976)","(992.7017211914062, 701.0586476325989)","(976.3118362426758, 696.9442462921143)","(960.6309127807617, 696.6507053375244)","(945.933666229248, 698.9519119262695)","(936.7864036560059, 702.0936369895935)","(931.3635635375977, 704.4485950469971)","(1112.589111328125, 718.6624789237976)","(1117.3262786865234, 720.0343322753906)","(1127.0353317260742, 721.3915729522705)","(1141.6275787353516, 724.4331979751587)","(1156.3018798828125, 726.3405704498291)","(1170.615119934082, 726.0138773918152)","(1180.0697708129883, 724.1937303543091)","(1186.7676544189453, 721.9883108139038)","(1193.246726989746, 718.1583738327026)","(1189.7048950195312, 715.8496356010437)","(1184.7829055786133, 712.7467918395996)","(1176.1935424804688, 708.4687542915344)","(1161.8217086791992, 705.0088977813721)","(1146.4480590820312, 704.5401334762573)","(1130.2428817749023, 707.8710508346558)","(1118.247184753418, 714.1012001037598)"
685,618,970,707,0,1160,717,0,-0.10374933038668857,0.09023080138257235,[178.92877657],[0.021595],[2.82903429],"(988.7417221069336, 707.2040176391602)","(970.8687973022461, 690.0860095024109)","(952.5275230407715, 706.9568252563477)","(970.6157684326172, 724.1314816474915)","(1177.4129104614258, 718.1888222694397)","(1160.7379531860352, 700.8950114250183)","(1142.9969787597656, 715.9181928634644)","(1159.628791809082, 733.4036421775818)","(933.9035797119141, 707.0513892173767)","(940.4193305969238, 712.0981693267822)","(947.1636772155762, 715.4115128517151)","(956.733455657959, 718.4904098510742)","(971.2312316894531, 720.1402902603149)","(985.7690048217773, 719.1238403320312)","(999.9332427978516, 716.8700766563416)","(1009.3938446044922, 716.0197734832764)","(1014.1088104248047, 715.0587487220764)","(1008.9202880859375, 709.8147296905518)","(997.6073455810547, 702.1603918075562)","(981.767578125, 697.2874188423157)","(966.5488815307617, 696.6062879562378)","(952.148323059082, 698.9183735847473)","(943.1721496582031, 702.3261523246765)","(937.9132461547852, 704.951605796814)","(1118.7986755371094, 723.5297870635986)","(1123.5705184936523, 725.0676584243774)","(1133.1790924072266, 726.5365862846375)","(1147.5270080566406, 729.5565819740295)","(1162.0214080810547, 731.3500142097473)","(1176.3188552856445, 730.8969569206238)","(1185.8654022216797, 728.858585357666)","(1192.606201171875, 726.3811898231506)","(1199.0723419189453, 722.1823310852051)","(1195.4612731933594, 719.7915816307068)","(1190.4766845703125, 716.6750907897949)","(1181.7868423461914, 712.370274066925)","(1167.3786163330078, 709.0218472480774)","(1152.113914489746, 708.7560510635376)","(1136.118507385254, 712.4535727500916)","(1124.289207458496, 718.9669632911682)"
685,618,971,705,0,1157,716,0,-0.1963098673964318,0.05785391262778727,[178.02042483],[0.06704258],[2.79749045],"(990.8209991455078, 706.1340093612671)","(971.7284774780273, 688.4643244743347)","(952.1600532531738, 705.6190252304077)","(971.3904190063477, 723.3622241020203)","(1176.4727783203125, 717.1873712539673)","(1158.376808166504, 699.1249465942383)","(1138.8528442382812, 714.7904419898987)","(1156.9880676269531, 733.0986428260803)","(932.698974609375, 705.4564833641052)","(939.0594863891602, 710.494122505188)","(945.6610107421875, 713.885486125946)","(955.155143737793, 717.2403502464294)","(969.6923446655273, 719.3998718261719)","(984.5491790771484, 718.8063526153564)","(999.0259552001953, 716.9053530693054)","(1008.8236999511719, 716.254734992981)","(1013.799934387207, 715.2666091918945)","(1008.5507583618164, 709.7835087776184)","(997.0639801025391, 701.8514013290405)","(981.0712051391602, 696.6879773139954)","(965.7263946533203, 695.5863618850708)","(951.108570098877, 697.5485801696777)","(942.0790672302246, 700.803472995758)","(936.7788505554199, 703.3384823799133)","(1116.1257934570312, 722.4442005157471)","(1120.7975006103516, 723.9729952812195)","(1130.3581237792969, 725.4451417922974)","(1144.6719360351562, 728.5210132598877)","(1159.2610931396484, 730.4710006713867)","(1173.7299728393555, 730.2622389793396)","(1183.4065246582031, 728.4894704818726)","(1190.3298568725586, 726.1648321151733)","(1197.0086288452148, 722.1245241165161)","(1193.503074645996, 719.4324445724487)","(1188.691635131836, 715.9534049034119)","(1180.1141738891602, 711.1326384544373)","(1165.5326843261719, 707.2613739967346)","(1149.9523544311523, 706.7702078819275)","(1133.7170791625977, 710.6831860542297)","(1121.752052307129, 717.640814781189)"
685,618,968,707,0,1155,714,0,-0.1527807826381016,0.02680013000509976,[178.96739192],[0.1641342],[1.99229588],"(986.0903549194336, 707.3169922828674)","(967.7729415893555, 690.315306186676)","(949.7066688537598, 707.3555517196655)","(968.2181167602539, 724.4564366340637)","(1173.9447784423828, 714.9811792373657)","(1155.8026885986328, 697.7714395523071)","(1136.5802764892578, 713.2541799545288)","(1154.795265197754, 730.6390142440796)","(929.9775123596191, 707.3325705528259)","(936.2472152709961, 712.3917102813721)","(942.674732208252, 715.7759928703308)","(951.9101715087891, 719.0856671333313)","(966.0151290893555, 721.1186957359314)","(980.3671646118164, 720.3768610954285)","(994.412727355957, 718.2462430000305)","(1003.9400482177734, 717.4126768112183)","(1008.837776184082, 716.2981224060059)","(1003.677864074707, 710.7491040229797)","(992.3686981201172, 702.6148009300232)","(976.7885971069336, 697.319540977478)","(961.9001770019531, 696.3870334625244)","(947.7446365356445, 698.6808371543884)","(939.0190887451172, 702.2304940223694)","(933.9520454406738, 704.9855303764343)","(1112.5511169433594, 721.5972447395325)","(1117.243881225586, 722.9148960113525)","(1126.9141387939453, 724.040265083313)","(1141.3600158691406, 726.6909527778625)","(1156.0316848754883, 728.3934259414673)","(1170.7088470458984, 728.1560182571411)","(1180.6626892089844, 726.3655471801758)","(1187.8356170654297, 723.976149559021)","(1194.6736907958984, 719.7517347335815)","(1191.0031127929688, 717.1327829360962)","(1185.930061340332, 713.7628555297852)","(1176.9204711914062, 709.175763130188)","(1161.9630432128906, 705.8471632003784)","(1146.2779998779297, 705.9366416931152)","(1130.0420379638672, 710.1640176773071)","(1118.0953216552734, 717.0059680938721)"
685,618,968,710,0,1158,718,0,-0.14390355640987948,0.09559012862799478,[178.6973946],[-0.14642171],[2.13577691],"(986.5974426269531, 710.5359649658203)","(968.1726837158203, 693.3629179000854)","(949.7156524658203, 710.649905204773)","(968.3056640625, 727.8479290008545)","(1175.4986572265625, 719.0641665458679)","(1158.7478256225586, 702.1895527839661)","(1141.351661682129, 717.3434114456177)","(1158.0015563964844, 734.4560766220093)","(931.205005645752, 710.9388113021851)","(937.9999351501465, 715.648148059845)","(944.9735069274902, 718.6904168128967)","(954.7893333435059, 721.4186096191406)","(969.5601654052734, 722.7000832557678)","(984.2449951171875, 721.5866231918335)","(998.4745788574219, 719.6008443832397)","(1007.9204177856445, 719.0527081489563)","(1012.5006866455078, 718.3607625961304)","(1007.0686340332031, 713.3352899551392)","(995.4246139526367, 706.0299825668335)","(979.2299652099609, 701.4701199531555)","(963.720817565918, 700.9467029571533)","(949.2279052734375, 703.2602691650391)","(940.250186920166, 706.5580344200134)","(935.0307083129883, 709.0584754943848)","(1117.80029296875, 725.4838943481445)","(1122.4651336669922, 726.8022537231445)","(1131.899528503418, 727.8550100326538)","(1145.9852600097656, 730.3042101860046)","(1160.222511291504, 731.6797971725464)","(1174.3584823608398, 731.0037517547607)","(1183.8191986083984, 728.900363445282)","(1190.5566787719727, 726.4039778709412)","(1197.066421508789, 722.2142601013184)","(1193.473892211914, 719.926507472992)","(1188.570213317871, 716.8925428390503)","(1179.9879455566406, 712.7233600616455)","(1165.7080078125, 709.6473598480225)","(1150.5850982666016, 709.7337484359741)","(1134.7917938232422, 713.8802719116211)","(1123.1989288330078, 720.7553744316101)"
685,618,976,707,0,1165,720,0,-0.27874878508058154,0.06598834895383869,[179.06515599],[0.14736403],[3.40945238],"(994.0151596069336, 708.4633469581604)","(976.5874099731445, 690.9204125404358)","(957.8275680541992, 707.3647570610046)","(975.4465484619141, 724.9780511856079)","(1183.0328750610352, 721.2683629989624)","(1165.9723663330078, 703.8660192489624)","(1147.9623413085938, 718.7231826782227)","(1164.9561309814453, 736.2881326675415)","(938.1598663330078, 707.624888420105)","(944.4628143310547, 712.9814958572388)","(951.0852241516113, 716.5955257415771)","(960.5595016479492, 720.0600814819336)","(975.0217437744141, 722.2348594665527)","(989.5711898803711, 721.6727542877197)","(1003.8141632080078, 719.7923541069031)","(1013.3047485351562, 719.1370368003845)","(1018.1151580810547, 718.3073973655701)","(1013.0850219726562, 712.8920817375183)","(1001.9540405273438, 704.9763250350952)","(986.2479400634766, 699.742283821106)","(971.1373901367188, 698.5383152961731)","(956.6939163208008, 700.2561092376709)","(947.5989532470703, 703.2617497444153)","(942.234992980957, 705.674901008606)","(1124.8970031738281, 725.9471869468689)","(1129.6406936645508, 727.4884057044983)","(1139.1737365722656, 728.9534711837769)","(1153.326301574707, 731.9450783729553)","(1167.674903869629, 733.7753319740295)","(1181.9032287597656, 733.4955668449402)","(1191.3958740234375, 731.6864275932312)","(1198.161392211914, 729.4890546798706)","(1204.7514724731445, 725.6213307380676)","(1201.0886764526367, 723.2817578315735)","(1196.1407089233398, 720.1963591575623)","(1187.5163269042969, 715.893280506134)","(1173.1728744506836, 712.3931908607483)","(1157.9574966430664, 711.8959736824036)","(1142.0387649536133, 715.2543783187866)","(1130.3362655639648, 721.4758372306824)"
685,618,976,706,0,1163,718,0,-0.12784931364845467,0.07243235142289312,[178.61622127],[-1.13312783],[3.48286828],"(996.4077758789062, 706.7477416992188)","(977.1413040161133, 688.3870768547058)","(956.8304443359375, 705.6535291671753)","(976.230354309082, 724.086742401123)","(1182.3677444458008, 720.0844144821167)","(1164.403953552246, 701.6640114784241)","(1144.6849822998047, 717.1966409683228)","(1162.6993560791016, 735.788083076477)","(937.9547882080078, 705.2994775772095)","(944.3808174133301, 710.7186555862427)","(951.0840797424316, 714.3809652328491)","(960.7099914550781, 717.9115676879883)","(975.4412841796875, 720.1167297363281)","(990.4632568359375, 719.4592881202698)","(1005.1201629638672, 717.4230408668518)","(1014.9956130981445, 716.6946601867676)","(1019.9219512939453, 715.7008695602417)","(1014.7028732299805, 710.102219581604)","(1003.1814193725586, 701.8663358688354)","(987.0707702636719, 696.4156794548035)","(971.5395355224609, 695.2080416679382)","(956.6487121582031, 697.169873714447)","(947.4454879760742, 700.5038166046143)","(942.0682525634766, 703.114013671875)","(1122.5072479248047, 724.7246146202087)","(1127.0854568481445, 726.3594317436218)","(1136.5517807006836, 728.0916452407837)","(1150.7684326171875, 731.580855846405)","(1165.3133010864258, 733.8782644271851)","(1179.7491073608398, 733.8666772842407)","(1189.4001388549805, 732.1274471282959)","(1196.30126953125, 729.7767376899719)","(1202.951431274414, 725.658860206604)","(1199.5175170898438, 722.9482412338257)","(1194.7835540771484, 719.4378519058228)","(1186.3397598266602, 714.5449233055115)","(1171.9277572631836, 710.4881358146667)","(1156.4332580566406, 709.7347784042358)","(1140.1966094970703, 713.3242177963257)","(1128.1775665283203, 720.0320148468018)"
685,618,970,708,0,1158,716,0,-0.1389470162877357,0.04712612738269933,[179.01810703],[-0.46624514],[2.26847752],"(989.4504547119141, 709.2010617256165)","(970.7778167724609, 691.4841270446777)","(951.5605545043945, 708.5595846176147)","(970.4059982299805, 726.3500332832336)","(1177.4000930786133, 717.1257019042969)","(1159.116439819336, 699.2728114128113)","(1139.6640014648438, 715.1719808578491)","(1158.017234802246, 733.2256507873535)","(931.783332824707, 707.8111839294434)","(937.9881477355957, 712.832407951355)","(944.410343170166, 716.1930012702942)","(953.8054275512695, 719.5313215255737)","(968.3001708984375, 721.7809653282166)","(983.162727355957, 721.379599571228)","(997.7785491943359, 719.6806025505066)","(1007.6621246337891, 719.1615629196167)","(1012.7760314941406, 718.204915523529)","(1007.4990463256836, 712.5290822982788)","(995.9506988525391, 704.249746799469)","(979.9625015258789, 698.6704730987549)","(964.5639038085938, 697.3607397079468)","(949.9237060546875, 699.3796706199646)","(940.9304237365723, 702.8310942649841)","(935.7617568969727, 705.5367565155029)","(1117.675552368164, 724.1100454330444)","(1122.1977996826172, 725.4071617126465)","(1131.5388107299805, 726.5360069274902)","(1145.5855178833008, 729.2345881462097)","(1159.9447631835938, 731.032977104187)","(1174.4328689575195, 730.8542776107788)","(1184.2938995361328, 729.089105129242)","(1191.4134979248047, 726.7031192779541)","(1198.2449340820312, 722.4695634841919)","(1194.668197631836, 719.8634219169617)","(1189.683723449707, 716.420431137085)","(1180.8930587768555, 711.6810965538025)","(1166.2521743774414, 708.0901765823364)","(1150.8392715454102, 707.98743724823)","(1134.8859786987305, 712.2670841217041)","(1123.1462860107422, 719.3487596511841)"
